ID Number;Name;Nickname;Type;Week behavior;Season behavior;Class;Distribution_North[-];Distribution_Centre[-];Distribution_South[-];Average_power[W];Time_on[min/day];Number_of_cycles_weekday[-];Number_of_cycles_weekend[-];Instant_peak1_weekday[min];Instant_peak2_weekday[min];Instant_peak3_weekday[min];Instant_peak1_weekend[min];Instant_peak2_weekend[min];Instant_peak3_weekend[min]
0;Air_conditioner;ac;continuous;wde;sawp;ac_machine;0.32;0.25;0.32;2000;144;2;2;350;1050;0;350;1050;0
1;Lighting;lux;continuous;wde;s,w,p;light;1;1;1;1;0;2;2;0;0;0;0;0;0
2;Fridge;frg;no_duty_cycle;wde;sawp;refrigerating;1;1;1;150;1440;0;0;0;0;0;0;0;0
3;Freezer;frz;no_duty_cycle;wde;sawp;refrigerating;0.28;0.26;0.21;200;1440;0;0;0;0;0;0;0;0
4;Electric_oven;elo;no_duty_cycle;wd,we;sawp;ovens;1;1;1;2000;60;1;2;0;0;0;200;900;0
5;Microwave_oven;mwo;no_duty_cycle;wd,we;sawp;ovens;0.75;0.7;0.6;1100;11;1;2;0;0;0;200;900;0
6;Electric_boiler;bo;no_duty_cycle;wde;sawp;boiler;0.22;0.3;0.38;1255;200;2;2;300;900;0;300;900;0
7;Iron;ir;no_duty_cycle;wde;sawp;cleaning;1;1;1;1500;15;3;3;300;650;1050;300;650;1050
8;Vacuum_cleaner;vc;no_duty_cycle;wd,we;sawp;cleaning;1;1;1;1300;12;1;1;0;0;0;0;0;0
9;Washing_machine;wm;duty_cycle;wd,we;sawp;washing;1;1;1;0;110;1;1;0;0;0;0;0;0
10;Dish_washer;dw;duty_cycle;wd,we;sawp;washing;0.47;0.44;0.26;0;110;3;2;350;770;1100;350;1100;0
11;Tumble_drier;td;duty_cycle;wd,we;sawp;washing;0.1;0.1;0.1;0;110;1;1;0;0;0;0;0;0
12;PC;pc;no_duty_cycle;wde;sawp;electronics;0.48;0.49;0.41;300;72;1;1;0;0;0;0;0;0
13;TV;tv;no_duty_cycle;wde;sawp;audiovideo;1;1;1;200;240;3;3;300;650;1050;300;650;1050
14;Laptop;lap;no_duty_cycle;wde;sawp;electronics;0.2;0.2;0.2;100;72;1;1;0;0;0;0;0;0
15;Hifi_stereo;hs;no_duty_cycle;wde;sawp;audiovideo;0.59;0.58;0.5;160;180;2;2;650;1050;0;350;1050;0
16;DVD_reader;vr;no_duty_cycle;wde;sawp;audiovideo;0.8;0.8;0.72;80;180;2;2;650;1050;0;350;1050;0
