'Time [min]';'Load profile [W]';'Load min [W]';'Load med [W]';'Load max [W]'
0;43841.46226344626;131.8669156773212;324.7131866057839;727.8348490416606
60;36349.17820874449;124.60721567732118;256.9669336804162;448.6651458547675
120;29219.479982285626;107.87791567732117;198.35165996955863;404.67352070015215
180;21873.880682801304;100.02831567732119;190.50205996955862;333.6042886239596
240;23999.606787594555;98.11751567732115;188.59125996955862;379.89997256613736
300;24069.676761454863;99.78571567732118;190.2594599695586;383.1116831271311
360;22749.310274788488;114.53201567732118;154.93666766147822;356.9823773827238
420;31701.251357985886;131.84451567732108;222.31825996955874;405.5393728865156
480;40957.60061444153;130.12861567732116;220.60235996955862;771.099120535292
540;55500.17064573862;144.63171567732118;311.72442703471086;883.4354754700378
600;62311.64384793924;139.54491567732123;463.60700452493353;929.6662580724177
660;67330.69603861462;139.14341567732117;438.3002205954743;1125.5359261632482
720;59151.67864761333;218.21522573175292;429.1646493436536;994.1619855386527
780;58118.32129174675;143.41171567732113;385.86972976291827;945.739921201563
840;58099.125009278694;146.01761567732115;401.9055246033237;1122.4895195073468
900;56128.35556857707;204.70970656244748;437.89167091349145;858.5582812835701
960;53211.606563649955;163.5450156773212;397.12507783917215;916.3615532166101
1020;53334.70145486583;198.7344156773212;431.2218757997487;875.0574922381044
1080;57872.245694894875;223.24021567732117;476.85381983414663;957.5832261549731
1140;56900.14236489119;219.63621567732116;462.08657738272365;981.409934601725
1200;65118.286901377534;218.04521567732118;487.03649836723406;1058.3690525596228
1260;60677.262291895604;217.95545889574657;496.4339705334086;987.7368185767326
1320;63228.8395628241;290.03945996955855;465.26567010295287;1061.8741818181622
1380;54303.15505718639;161.59841567732113;396.1106766199856;963.6471400376894
